Date,Description,Category,Type,Amount
2025-01-01,Monthly Salary Credit - TechCorp India,Salary,CREDIT,60000.0
2025-01-01,Uniqlo Store,Shopping,DEBIT,4087.22
2025-01-03,HP Fuel Station,Transport,DEBIT,2039.47
2025-01-05,Canva Pro Subscription,Subscriptions,DEBIT,499.0
2025-01-05,Toit Brewpub,Food,DEBIT,1944.06
2025-01-06,Third Wave Coffee,Food,DEBIT,491.03
2025-01-06,BWSSB Water Supply,Bills,DEBIT,626.97
2025-01-08,Ola Cabs,Transport,DEBIT,254.47
2025-01-10,PPF Contribution SBI,Investment,DEBIT,5879.44
2025-01-11,Third Wave Coffee,Food,DEBIT,317.05
2025-01-12,PPF Contribution SBI,Investment,DEBIT,14623.65
2025-01-13,Blinkit Supermarket,Food,DEBIT,527.24
2025-01-18,Cred Cashback Credit,Other,CREDIT,121.65
2025-01-19,AWS Certification Exam Fee,Education,DEBIT,7732.27
2025-01-20,Freelance UI Design Payment,Other,CREDIT,15312.62
2025-01-20,Zepto Grocery,Food,DEBIT,373.63
2025-01-21,Goonj NGO Donation,Other,DEBIT,1231.27
2025-01-22,Jio Mobile Recharge,Bills,DEBIT,476.59
2025-01-26,Zara Clothing,Shopping,DEBIT,3387.83
2025-01-26,Uber Trip,Transport,DEBIT,330.7
2025-01-28,Local Hardware Repairs,Other,DEBIT,256.19
2025-01-28,Mainland China Restaurant,Food,DEBIT,1584.64
2025-01-30,Google One 100GB Storage,Subscriptions,DEBIT,130.0
2025-01-31,Swiggy Order,Food,DEBIT,409.49
2025-02-01,Monthly Salary Credit - TechCorp India,Salary,CREDIT,60000.0
2025-02-02,Myntra Fashion,Shopping,DEBIT,1017.89
2025-02-03,Uniqlo Store,Shopping,DEBIT,4012.33
2025-02-04,Google One 100GB Storage,Subscriptions,DEBIT,130.0
2025-02-08,Zepto Grocery,Food,DEBIT,253.91
2025-02-09,YouTube Premium Monthly,Subscriptions,DEBIT,149.0
2025-02-10,Blinkit Supermarket,Food,DEBIT,1179.18
2025-02-11,Canva Pro Subscription,Subscriptions,DEBIT,499.0
2025-02-11,Goonj NGO Donation,Other,DEBIT,1455.07
2025-02-13,BookMyShow Cinema,Entertainment,DEBIT,636.8
2025-02-15,Truffles Cafe,Food,DEBIT,1028.19
2025-02-17,Uber Trip,Transport,DEBIT,204.57
2025-02-18,Indane Gas Cylinder,Bills,DEBIT,986.44
2025-02-18,Mainland China Restaurant,Food,DEBIT,2688.47
2025-02-18,Zerodha Coin Mutual Fund SIP,Investment,DEBIT,8717.04
2025-02-19,Local Organic Store,Food,DEBIT,814.35
2025-02-20,Dr. Lal PathLabs Diagnostic,Healthcare,DEBIT,2467.57
2025-02-22,Flipkart Order,Shopping,DEBIT,3594.19
